City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
572,Gold Coast,AU,75.0,broken clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
575,Tonantins,BR,85.26,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
577,Omboue,GA,80.76,broken clouds,-1.5746,9.2618,Hotel Olako
580,Inongo,CD,81.86,broken clouds,-1.95,18.2667,Hotel Du Lac
581,Itaueira,BR,80.33,light rain,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
584,Kieta,PG,78.84,light rain,-6.2167,155.6333,Uruna Bay Retreat
585,Caravelas,BR,86.27,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
591,Manzanillo,CU,84.47,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
594,Pitimbu,BR,84.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
599,Harper,LR,83.64,broken clouds,4.375,-7.7169,Screensaver
600,Srandakan,ID,76.3,overcast clouds,-7.9386,110.2506,Puri Brata
601,Mumford,GH,82.98,overcast clouds,5.2618,-0.759,Spanish Villa
607,Presidente Epitacio,BR,77.02,overcast clouds,-21.7633,-52.1156,Hotel Itaverá
615,Maceio,BR,87.24,broken clouds,-9.6658,-35.7353,Poutur Pousada
617,Kloulklubed,PW,81.05,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
618,Matara,LK,76.75,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
625,Naifaru,MV,81.64,few clouds,5.4444,73.3657,Naifaru Residence Guest House
628,Rivadavia,AR,82.45,clear sky,-33.1905,-68.4608,Posada Del Fin Del Mundo
630,Bonoua,CI,85.62,scattered clouds,5.2741,-3.595,Hotel Bon Samaritian
631,Villahermosa,MX,77.07,overcast clouds,17.9833,-92.9167,Olmeca Plaza
633,Entre Rios,BR,83.59,moderate rain,-11.9419,-38.0844,Pousada Porteira
638,Eldorado,BR,75.07,overcast clouds,-23.7869,-54.2836,Villa Verde Hotel
639,Honiara,SB,77.54,moderate rain,-9.4333,159.95,Heritage Park Hotel
641,Jacmel,HT,85.84,clear sky,18.2342,-72.5347,Historic Hotel Florita
642,Cairns,AU,75.07,light intensity shower rain,-16.9167,145.7667,Mantra Trilogy Cairns
645,Linares,CL,86.27,clear sky,-35.85,-71.6,Hotel Real
650,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
654,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
656,Vieques,PR,85.17,few clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
657,Salinopolis,BR,76.55,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
658,Maragogi,BR,84.02,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
661,Labuhan,ID,78.12,moderate rain,-6.8844,112.2051,DoubleFAG
663,Panaba,MX,81.7,few clouds,21.2833,-88.2667,Hotel California
666,Moerai,PF,79.18,scattered clouds,-22.4333,-151.3333,Le Manotel
670,Tahoua,NE,80.24,clear sky,14.8888,5.2692,Bungalows Guesthouse
