City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
475,Kholmogory,RU,64.2229,41.656,3.31,96,100,3.96,snow
476,Gorahun,SL,7.4661,-11.2375,94.78,32,72,8.77,broken clouds
477,Upington,ZA,-28.4478,21.2561,95.0,16,2,9.04,clear sky
478,Saint George,US,37.1041,-113.5841,42.35,41,0,3.0,clear sky
479,Bull Savanna,JM,17.8868,-77.5902,79.99,61,5,7.7,clear sky
480,Vanimo,PG,-2.6741,141.3028,77.38,88,95,3.56,overcast clouds
481,Chimoio,MZ,-19.1164,33.4833,69.8,91,70,0.96,light rain
482,Mayumba,GA,-3.432,10.6554,78.78,83,46,4.76,light rain
483,Manjacaze,MZ,-24.7117,33.8828,80.44,65,19,10.27,few clouds
484,Meridian,US,43.6121,-116.3915,21.34,77,0,1.01,clear sky
485,Leshukonskoye,RU,64.8989,45.7622,11.25,95,100,7.18,light snow
486,Coos Bay,US,43.3665,-124.2179,38.95,67,27,3.76,scattered clouds
487,Cockburn Town,TC,21.4612,-71.1419,77.97,68,14,7.16,few clouds
488,Mana,GF,5.6592,-53.7767,81.45,67,67,9.19,broken clouds
489,Seryshevo,RU,51.0933,128.3786,-22.34,99,54,5.14,broken clouds
490,Qaqortoq,GL,60.7167,-46.0333,12.7,72,77,9.8,broken clouds
491,Morehead,US,37.2711,-87.1764,39.15,65,100,3.0,overcast clouds
492,Muros,ES,42.7762,-9.0603,59.5,61,0,4.65,clear sky
493,San Cristobal,VE,7.7669,-72.225,77.18,40,77,2.17,broken clouds
494,Provost,CA,52.3501,-110.2683,16.56,79,84,5.99,broken clouds
495,Kiomboi,TZ,-4.2667,34.3667,67.24,70,86,3.02,overcast clouds
496,Te Horo,NZ,-40.8084,175.1233,55.08,76,88,3.15,overcast clouds
497,Abha,SA,18.2164,42.5053,55.65,82,20,6.91,few clouds
498,Baiyin,CN,36.5583,104.2081,18.21,82,7,1.43,clear sky
499,Ust-Nera,RU,64.5667,143.2,-10.75,95,100,1.86,overcast clouds
500,Bairiki,KI,1.3292,172.9752,80.6,83,20,5.75,few clouds
501,Aquiraz,BR,-3.9014,-38.3911,80.22,81,71,7.74,broken clouds
502,Cayenne,GF,4.9333,-52.3333,80.64,69,75,11.5,broken clouds
503,Puqi,CN,29.7167,113.8833,33.8,100,100,2.21,overcast clouds
504,Patiya,BD,22.2931,91.9762,54.55,62,9,5.59,clear sky
505,Coahuayana,MX,18.7333,-103.6833,85.48,39,30,3.87,scattered clouds
506,Tiznit,MA,29.5833,-9.5,62.42,30,0,36.17,clear sky
507,Xining,CN,36.6167,101.7667,12.07,82,39,1.1,scattered clouds
508,Yar-Sale,RU,66.8333,70.8333,-14.01,100,81,4.85,broken clouds
509,Pokrovka,KG,42.3414,78.0056,18.93,62,99,8.39,overcast clouds
510,Atakpame,TG,7.5333,1.1333,93.74,12,70,5.88,broken clouds
511,Tuni,IN,17.35,82.55,68.81,83,69,4.61,broken clouds
512,Jeremoabo,BR,-10.075,-38.4808,94.08,27,100,9.1,overcast clouds
513,Pauini,BR,-7.7136,-66.9764,81.43,89,95,2.82,overcast clouds
514,Brae,GB,60.3964,-1.353,46.31,93,100,34.31,overcast clouds
515,College,US,64.8569,-147.8028,6.75,58,100,16.11,light snow
516,Auki,SB,-8.7676,160.7034,76.87,88,100,4.7,light rain
517,Moron,AR,-34.6534,-58.6198,79.02,50,1,6.6,clear sky
518,Onega,RU,63.9061,38.1404,2.52,100,89,4.05,overcast clouds
519,Tahta,EG,26.7693,31.5021,52.59,38,0,8.61,clear sky
520,Ubatuba,BR,-23.4339,-45.0711,80.94,83,100,3.33,overcast clouds
521,Ca Mau,VN,9.1769,105.15,74.01,85,57,3.91,broken clouds
522,Waipawa,NZ,-41.4122,175.5153,52.43,78,98,4.14,light rain
523,High Level,CA,58.5169,-117.136,3.76,99,100,1.97,overcast clouds
524,Bam,IR,29.106,58.357,60.57,46,0,5.99,clear sky
525,Fortuna,US,40.5982,-124.1573,41.34,87,0,13.8,clear sky
526,Cullman,US,34.1748,-86.8436,44.04,52,75,8.05,broken clouds
527,Santa Rosa,PH,14.3122,121.1114,81.1,86,10,4.88,clear sky
528,Chicama,PE,-7.8447,-79.1469,68.54,65,99,8.86,overcast clouds
529,Manzhouli,CN,49.6,117.4333,-7.62,87,8,9.51,clear sky
530,Dungarpur,IN,23.8333,73.7167,61.03,25,0,4.92,clear sky
531,Yarmouth,US,41.7057,-70.2286,38.14,63,100,5.01,overcast clouds
532,Yerofey Pavlovich,RU,53.9667,121.9667,-5.55,91,86,4.61,overcast clouds
533,Vangaindrano,MG,-23.35,47.6,72.72,83,0,3.87,clear sky
534,Saint Anthony,US,45.0205,-93.218,7.34,67,0,3.0,clear sky
