City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Aloleng,PH,2022-01-26 20:38:43,16.1307,119.7824,77.22,83,93,8.01
91,Mar Del Plata,AR,2022-01-26 20:35:00,-38.0023,-57.5575,66.22,70,20,24.0
92,Marquette,US,2022-01-26 20:38:43,46.5333,-87.6335,11.68,43,100,18.77
93,Saint-Doulchard,FR,2022-01-26 20:38:43,47.1037,2.352,29.64,87,6,3.31
94,Clyde River,CA,2022-01-26 20:38:44,70.4692,-68.5914,-7.37,84,100,44.87
95,Emba,KZ,2022-01-26 20:38:44,48.8264,58.1442,13.48,96,100,4.52
96,Port Lincoln,AU,2022-01-26 20:38:44,-34.7333,135.8667,67.21,93,22,8.97
97,Palora,EC,2022-01-26 20:38:45,-1.7,-77.9333,78.78,88,99,3.09
98,Coahuayana,MX,2022-01-26 20:38:45,18.7333,-103.6833,90.88,40,94,7.76
99,Iracoubo,GF,2022-01-26 20:38:45,5.4802,-53.2011,78.03,81,57,8.41
100,Dikson,RU,2022-01-26 20:38:46,73.5069,80.5464,13.64,93,100,29.17
101,Bredasdorp,ZA,2022-01-26 20:38:46,-34.5322,20.0403,66.27,77,96,10.36
102,Butaritari,KI,2022-01-26 20:38:47,3.0707,172.7902,81.28,80,65,14.12
103,Vilhena,BR,2022-01-26 20:38:47,-12.7406,-60.1458,84.42,65,75,12.66
104,Tahta,EG,2022-01-26 20:38:47,26.7693,31.5021,48.52,53,2,8.7
105,Flinders,AU,2022-01-26 20:38:48,-34.5833,150.8552,70.81,80,88,5.99
106,Te Anau,NZ,2022-01-26 20:38:48,-45.4167,167.7167,53.58,63,56,2.98
107,Songea,TZ,2022-01-26 20:38:48,-10.6833,35.65,64.99,98,100,2.01
108,Souillac,MU,2022-01-26 20:38:49,-20.5167,57.5167,72.36,78,20,5.75
109,Saskylakh,RU,2022-01-26 20:38:49,71.9167,114.0833,-4.52,89,77,5.88
110,New Norfolk,AU,2022-01-26 20:38:49,-42.7826,147.0587,65.91,72,100,2.37
111,Finspang,SE,2022-01-26 20:38:50,58.7058,15.7674,37.94,86,20,9.04
112,Puerto Ayora,EC,2022-01-26 20:38:16,-0.7393,-90.3518,82.36,78,71,10.54
113,Upernavik,GL,2022-01-26 20:38:50,72.7868,-56.1549,2.98,77,78,9.8
114,Katakwi,UG,2022-01-26 20:38:51,1.8911,33.9661,73.63,37,2,8.77
115,Alofi,NU,2022-01-26 20:38:51,-19.0595,-169.9187,82.29,83,75,6.91
116,Airai,TL,2022-01-26 20:38:52,-8.9266,125.4092,61.41,86,100,2.98
117,Kapaa,US,2022-01-26 20:38:52,22.0752,-159.319,79.12,73,75,1.01
118,Vieux-Habitants,GP,2022-01-26 20:38:52,16.0589,-61.7659,80.71,62,1,9.51
119,Bairiki,KI,2022-01-26 20:38:53,1.3292,172.9752,82.4,78,20,6.91
120,Margate,GB,2022-01-26 20:36:11,51.3813,1.3862,43.7,79,9,3.0
121,Teguldet,RU,2022-01-26 20:38:53,57.3064,88.1667,0.43,100,97,1.74
122,Beringovskiy,RU,2022-01-26 20:38:54,63.05,179.3167,-6.38,99,100,4.14
123,Gushikawa,JP,2022-01-26 20:38:54,26.3544,127.8686,66.2,77,0,3.44
124,Elmadag,TR,2022-01-26 20:38:54,39.9208,33.2308,23.13,85,26,5.57
125,Nemuro,JP,2022-01-26 20:38:55,43.3236,145.575,27.39,93,100,2.37
126,Mountain Home,US,2022-01-26 20:36:05,43.133,-115.6912,26.42,100,100,9.22
127,Pevek,RU,2022-01-26 20:38:55,69.7008,170.3133,-34.51,98,49,3.42
128,Nanortalik,GL,2022-01-26 20:38:56,60.1432,-45.2371,15.06,86,100,7.61
129,Victoria,HK,2022-01-26 20:36:40,22.2855,114.1577,66.94,91,99,3.0
130,Tiznit,MA,2022-01-26 20:38:56,29.5833,-9.5,53.71,58,3,3.47
131,Ossora,RU,2022-01-26 20:38:56,59.2353,163.0719,11.7,95,100,10.29
132,Cleveland,US,2022-01-26 20:36:27,41.4995,-81.6954,19.4,59,40,8.05
133,Rawson,AR,2022-01-26 20:38:57,-43.3002,-65.1023,64.4,55,1,13.27
134,Pochutla,MX,2022-01-26 20:38:57,15.7432,-96.4661,86.83,53,49,8.08
135,Panaba,MX,2022-01-26 20:38:57,21.2833,-88.2667,78.13,75,60,12.17
136,Mahebourg,MU,2022-01-26 20:39:58,-20.4081,57.7,72.25,78,20,5.75
137,Petropavlovsk-Kamchatskiy,RU,2022-01-26 20:39:59,53.0452,158.6483,4.78,61,0,4.47
138,Torbay,CA,2022-01-26 20:39:59,47.6666,-52.7314,38.75,97,100,11.5
139,Barranca,PE,2022-01-26 20:39:59,-10.75,-77.7667,73.98,72,37,11.34
140,Vanavara,RU,2022-01-26 20:40:00,60.34,102.2797,-18.44,100,86,0.6
141,San Patricio,US,2022-01-26 20:40:00,28.017,-97.5169,64.49,60,96,10.18
142,Kovur,IN,2022-01-26 20:40:01,14.4833,79.9833,72.57,84,70,5.26
143,Bereda,ES,2022-01-26 20:40:01,43.2686,-7.5406,47.91,99,43,3.56
144,Leh,IN,2022-01-26 20:40:01,34.1667,77.5833,-5.31,89,99,3.31
145,Atuona,PF,2022-01-26 20:40:02,-9.8,-139.0333,78.78,79,13,18.45
146,Port Hardy,CA,2022-01-26 20:37:53,50.6996,-127.4199,41.76,87,75,11.5
147,Kaitangata,NZ,2022-01-26 20:40:02,-46.2817,169.8464,56.93,61,53,10.78
148,Guaraniacu,BR,2022-01-26 20:38:54,-25.1008,-52.8781,76.06,75,100,4.63
149,Klyavlino,RU,2022-01-26 20:40:03,54.2649,52.0267,13.39,95,100,10.18
150,Cherskiy,RU,2022-01-26 20:40:03,68.75,161.3,-44.75,99,48,3.56
151,Marzuq,YE,2022-01-26 20:40:04,14.4,46.4667,59.22,71,0,2.19
152,Gazli,UZ,2022-01-26 20:40:04,40.1333,63.45,37.72,57,0,10.49
153,Srednekolymsk,RU,2022-01-26 20:40:05,67.45,153.6833,-44.09,100,49,3.33
154,Coihaique,CL,2022-01-26 20:40:05,-45.5752,-72.0662,79.41,27,0,8.05
155,Waipawa,NZ,2022-01-26 20:40:06,-41.4122,175.5153,56.03,79,100,13.78
156,Yumen,CN,2022-01-26 20:40:06,40.2833,97.2,17.87,47,37,6.31
157,Kruisfontein,ZA,2022-01-26 20:40:06,-34.0033,24.7314,67.89,94,100,5.17
158,Tarauaca,BR,2022-01-26 20:40:07,-8.1614,-70.7656,83.01,67,100,3.33
159,Obo,CF,2022-01-26 20:40:07,5.3998,26.4869,78.75,25,100,6.82
160,Puerto Escondido,MX,2022-01-26 20:40:07,15.85,-97.0667,81.43,69,20,8.05
161,Muroto,JP,2022-01-26 20:40:08,33.2833,134.15,50.04,61,78,3.4
162,Brae,GB,2022-01-26 20:40:08,60.3964,-1.353,48.11,82,92,34.96
163,Marsabit,KE,2022-01-26 20:40:08,2.3284,37.9899,68.16,41,2,8.14
164,Ilulissat,GL,2022-01-26 20:40:09,69.2167,-51.1,15.82,79,100,10.36
165,Tasiilaq,GL,2022-01-26 20:40:09,65.6145,-37.6368,12.36,71,100,4.38
166,Antananarivo,MG,2022-01-26 20:40:09,-18.9137,47.5361,62.56,94,40,6.91
167,Yulara,AU,2022-01-26 20:40:10,-25.2406,130.9889,76.84,69,85,3.44
168,Yaan,NG,2022-01-26 20:40:10,7.3833,8.5667,80.87,15,3,5.93
169,Bam,IR,2022-01-26 20:40:10,29.106,58.357,51.8,31,0,2.66
170,Hualmay,PE,2022-01-26 20:40:11,-11.0964,-77.6139,75.04,73,51,10.63
171,Iqaluit,CA,2022-01-26 20:40:11,63.7506,-68.5145,-22.27,69,40,0.0
172,La Ronge,CA,2022-01-26 20:40:12,55.1001,-105.2842,21.45,86,100,13.8
173,Kaeo,NZ,2022-01-26 20:40:12,-35.1,173.7833,69.33,91,83,8.57
174,Sabzevar,IR,2022-01-26 20:40:12,36.2126,57.6819,41.95,38,3,2.93
175,Tema,GH,2022-01-26 20:40:13,5.667,-0.0166,81.01,69,1,4.61
176,Oranjestad,AW,2022-01-26 20:40:13,12.524,-70.027,84.15,61,20,17.27
177,Katobu,ID,2022-01-26 20:40:14,-4.9408,122.5276,75.78,92,85,2.68
178,Suntar,RU,2022-01-26 20:41:14,62.1444,117.6319,-2.33,96,100,6.8
179,Hasaki,JP,2022-01-26 20:41:14,35.7333,140.8333,28.8,77,61,5.57
180,Chaah,MY,2022-01-26 20:41:15,2.249,103.048,70.86,93,64,1.16
181,Vestmannaeyjar,IS,2022-01-26 20:41:15,63.4427,-20.2734,34.61,73,91,5.93
182,Fortuna,US,2022-01-26 20:41:15,40.5982,-124.1573,47.32,100,0,11.5
183,East London,ZA,2022-01-26 20:39:46,-33.0153,27.9116,74.07,90,79,6.6
184,Wuwei,CN,2022-01-26 20:41:16,37.9281,102.6414,19.71,62,61,1.54
185,Bar Harbor,US,2022-01-26 20:37:41,44.3876,-68.2039,18.25,51,0,8.99
186,Les Cayes,HT,2022-01-26 20:41:17,18.2,-73.75,80.04,69,52,8.48
187,Port Alfred,ZA,2022-01-26 20:40:23,-33.5906,26.891,73.27,89,97,6.87
188,Yarmouth,US,2022-01-26 20:41:17,41.7057,-70.2286,28.96,58,0,21.99
189,Port Elizabeth,ZA,2022-01-26 20:41:17,-33.918,25.5701,70.11,94,100,6.91
190,Mount Isa,AU,2022-01-26 20:41:18,-20.7333,139.5,74.97,100,100,6.91
191,Ibia,BR,2022-01-26 20:41:18,-19.4783,-46.5389,72.86,86,37,3.44
192,Letterkenny,IE,2022-01-26 20:41:18,54.95,-7.7333,53.49,93,100,17.2
193,Shawville,CA,2022-01-26 20:41:19,45.6001,-76.4827,3.81,85,36,0.58
194,Asau,RO,2022-01-26 20:41:19,46.4333,26.4,31.12,86,100,6.13
195,Selma,US,2022-01-26 20:41:19,36.5708,-119.6121,67.03,40,0,3.38
196,Baiyin,CN,2022-01-26 20:41:20,36.5583,104.2081,11.28,52,100,4.21
197,Graham,US,2022-01-26 20:41:20,47.0529,-122.2943,43.41,100,100,0.0
198,Bara,NG,2022-01-26 20:41:21,10.3744,10.7288,69.85,21,19,9.91
199,Ambon,ID,2022-01-26 20:41:21,-3.6954,128.1814,75.34,94,40,10.36
200,Aklavik,CA,2022-01-26 20:41:21,68.2191,-135.0107,2.23,78,75,10.36
201,Harper,LR,2022-01-26 20:41:22,4.375,-7.7169,79.5,79,36,8.95
202,Sao Filipe,CV,2022-01-26 20:41:22,14.8961,-24.4956,76.08,66,79,14.92
203,Kahului,US,2022-01-26 20:41:20,20.8947,-156.47,80.96,63,20,18.41
204,Mantua,IT,2022-01-26 20:39:48,45.1667,10.7833,40.28,92,13,1.99
205,Sola,VU,2022-01-26 20:41:23,-13.8833,167.55,83.01,76,87,15.84
206,Mount Gambier,AU,2022-01-26 20:41:23,-37.8333,140.7667,71.51,83,7,13.8
207,Dunedin,NZ,2022-01-26 20:39:03,-45.8742,170.5036,52.81,72,48,17.0
208,Beloha,MG,2022-01-26 20:41:23,-25.1667,45.05,70.99,82,0,15.28
209,Husavik,IS,2022-01-26 20:41:24,66.0449,-17.3389,24.71,73,100,8.59
210,Cururupu,BR,2022-01-26 20:41:24,-1.8283,-44.8683,79.03,81,99,3.91
211,Zhuzhou,CN,2022-01-26 20:41:25,27.8333,113.15,41.13,95,100,9.13
212,Sucua,EC,2022-01-26 20:41:25,-2.4667,-78.1667,79.54,73,75,5.75
213,Koslan,RU,2022-01-26 20:41:25,63.4564,48.8989,4.28,99,100,3.62
214,Dingle,PH,2022-01-26 20:41:26,10.9995,122.6711,75.33,94,45,6.2
215,Jiayuguan,CN,2022-01-26 20:39:08,39.8167,98.3,17.46,45,100,3.71
216,Komsomolskiy,UZ,2022-01-26 20:41:26,40.4272,71.7189,33.22,86,0,4.61
217,Borger,NL,2022-01-26 20:41:26,52.9233,6.7931,43.81,91,100,20.18
